h3_index,opportunity_score,acreage_est,dist_to_center_km,dominant_property_type,est_land_value_acre,est_construction_months,est_cost_per_sqft,nearest_address,city_name,tier,lat,lon
88489e376dfffff,0.743065693430657,208.04687512191865,8.35650545286361,residential,222831.43319580148,9.0,175.0,,austin,Tier 1 — Top 10%,30.201585710252896,-97.70069002674428
88489e3297fffff,0.7387469586374696,208.06225457343308,8.943794805277077,residential,192403.21394058573,9.0,175.0,,austin,Tier 1 — Top 10%,30.1936965980989,-97.70529728473458
88489e34a1fffff,0.7351581508515815,208.0334919729641,8.659236878279915,residential,206589.29170961797,9.0,175.0,,austin,Tier 1 — Top 10%,30.337873208142764,-97.78098228224711
88489e3611fffff,0.7347323600973237,208.2014562192101,8.199453232416126,commercial,231754.50325546679,16.0,230.0,,austin,Tier 1 — Top 10%,30.236010227376667,-97.82045216257407
88489e3295fffff,0.7316362530413625,208.06101348793302,9.928489759090922,vacant,150418.21342913967,0.0,0.0,,austin,Tier 1 — Top 10%,30.186162954659867,-97.69971032266749
88489e32bbfffff,0.7316301703163017,208.04564180249443,9.349866848237431,residential,173829.55181320244,9.0,175.0,,austin,Tier 1 — Top 10%,30.194052041471934,-97.69510311631483
88489e3283fffff,0.7304501216545012,208.05975718680284,10.91505613341016,residential,117539.90706670804,9.0,175.0,,austin,Tier 1 — Top 10%,30.178629104619986,-97.69412423753107
88489e228dfffff,0.7293491484184915,207.84903759638377,10.54915520527434,industrial,128799.01196551946,12.0,105.0,,austin,Tier 1 — Top 10%,30.32669464111404,-97.65751309107858
88489e229dfffff,0.7289902676399027,207.86780602234853,10.299565086585924,residential,147289.34146433213,9.0,175.0,,austin,Tier 1 — Top 10%,30.341411347585687,-97.67889918534648
88489e22c1fffff,0.7287104622871047,207.8801754195531,8.79763873068107,residential,199563.45605413933,9.0,175.0,,austin,Tier 1 — Top 10%,30.31093009236767,-97.66674071113125
88489e22b9fffff,0.7285705596107056,207.83556164751624,11.898780552055252,industrial,143262.60505103308,12.0,105.0,,austin,Tier 1 — Top 10%,30.349642181498535,-97.66407877540341
88489e30cbfffff,0.7273175182481753,207.99698108855014,10.034646515516055,NaN,,,,,austin,Tier 1 — Top 10%,30.202647892569583,-97.67010755249885
88489e22d5fffff,0.7269464720194648,207.88233467786387,9.049977939750022,residential,187362.91517515693,9.0,175.0,,austin,Tier 1 — Top 10%,30.325996063188924,-97.67792128908835
88489e22bbfffff,0.7269160583941605,207.8365952836791,12.238470143451755,residential,174075.05761208356,9.0,175.0,,austin,Tier 1 — Top 10%,30.3571749124608,-97.66967022572209
88489e2755fffff,0.7260644768856448,207.88941335416428,12.649463981867425,industrial,421173.80001273175,12.0,105.0,,austin,Tier 1 — Top 10%,30.378720255474207,-97.71708100804295
88489e35abfffff,0.7258515815085159,207.93423655193183,8.400851602407272,residential,220374.64796541168,9.0,175.0,,austin,Tier 1 — Top 10%,30.34000583174484,-97.71972680030181
88489eadd1fffff,0.7255170316301703,208.22290791876773,12.581174652582316,residential,77497.70172348019,9.0,175.0,,austin,Tier 1 — Top 10%,30.159971259605715,-97.78488497305702
88489e3291fffff,0.7253406326034064,208.07762068939593,9.596018122687967,open_space,163454.94934780506,0.0,0.0,,austin,Tier 1 — Top 10%,30.185806936310986,-97.70990403142063
88489e205bfffff,0.7251824817518248,207.79899466694926,13.029200438067365,industrial,69285.92855109471,12.0,105.0,,austin,Tier 1 — Top 10%,30.327736428788636,-97.62690434074578
884898d937fffff,0.7238199513381995,208.25285802973724,11.605193307006166,vacant,98913.2909270378,0.0,0.0,,austin,Tier 1 — Top 10%,30.249974391375652,-97.86227278687969
884898d93dfffff,0.7232177615571777,208.26717989184158,11.917186715873724,commercial,91491.4261777644,16.0,230.0,,austin,Tier 1 — Top 10%,30.23454886374172,-97.86127061686464
88489eadbbfffff,0.723205596107056,208.16165759909305,8.706763798864218,commercial,204149.17858424675,16.0,230.0,,austin,Tier 1 — Top 10%,30.191546979160073,-97.76647211765385
88489e34bdfffff,0.7229379562043796,208.05094059466137,10.07456963454609,multifamily,145024.04195287463,20.0,215.0,,austin,Tier 1 — Top 10%,30.345044814349187,-97.79679582677672
88489e30c9fffff,0.722603406326034,207.99572543188245,11.010849050252919,NaN,,,,,austin,Tier 1 — Top 10%,30.19511352811811,-97.66452342971921
884898d939fffff,0.7225973236009733,208.2835780753745,12.865972000335821,residential,72171.76794965669,9.0,175.0,,austin,Tier 1 — Top 10%,30.234181497812184,-97.87147638128101
