h3_index,opportunity_score,acreage_est,dist_to_center_km,dominant_property_type,est_land_value_acre,est_construction_months,est_cost_per_sqft,nearest_address,city_name,tier,lat,lon
8829b6d2d3fffff,0.7010837696335078,210.63611031273274,13.186120818300568,unknown,57247.705556060006,12.0,180.0,West Cora Lane Maryvale,phoenix,Tier 1 — Top 10%,33.4861235285123,-112.20877025540015
8848ebb137fffff,0.6972303664921465,211.39874719149913,44.46645316467512,unknown,33476.27896303016,12.0,180.0,East Happy Road,phoenix,Tier 1 — Top 10%,33.20804570651079,-111.691485320588
8848e96d09fffff,0.6962146596858638,210.74442411115936,12.675289069686391,unknown,63405.70957210169,12.0,180.0,West Lower Buckeye Road Santa Maria,phoenix,Tier 1 — Top 10%,33.423996829096744,-112.20743187708548
8848ebba87fffff,0.6917068062827224,211.35320395305965,44.298561662554334,unknown,33481.905444578224,12.0,180.0,East Sonoqui Boulevard Queen Creek Ranchettes,phoenix,Tier 1 — Top 10%,33.242831462113266,-111.66549437269147
8848e96aa7fffff,0.6890418848167539,210.91002467445523,13.599893597254484,unknown,52700.925033812295,12.0,180.0,South 45th Drive,phoenix,Tier 1 — Top 10%,33.34589318006206,-112.1539138416326
8829b6d2dbfffff,0.6876282722513088,210.64832022650722,13.264333983698497,unknown,56359.16835221305,12.0,180.0,North 71st Drive Maryvale,phoenix,Tier 1 — Top 10%,33.47779201976491,-112.21258264162476
8848e96959fffff,0.6873664921465967,210.99368566989733,13.472278600108153,unknown,54063.32299722558,12.0,180.0,South Tv Road Ahwatukee Foothills,phoenix,Tier 1 — Top 10%,33.32758018420846,-112.06314796269955
8848ebba83fffff,0.6865130890052356,211.35024960124127,43.543737890718496,unknown,33507.21324079065,12.0,180.0,East Via Del Jardin,phoenix,Tier 1 — Top 10%,33.24136538429077,-111.67610213154833
8848ebbad9fffff,0.6861465968586387,211.38365028956105,43.505393113657256,unknown,33508.49937820789,12.0,180.0,South Tangelo Avenue,phoenix,Tier 1 — Top 10%,33.214908370954454,-111.69824503563301
8848ebba89fffff,0.685764397905759,211.37749789889457,44.68790027143056,unknown,33468.85913966506,12.0,180.0,East Cloud Road,phoenix,Tier 1 — Top 10%,33.226173128180996,-111.67318891735405
8848ebb133fffff,0.6834083769633508,211.3957448681304,43.78341080016587,unknown,33499.175394925354,12.0,180.0,East Stacey Road,phoenix,Tier 1 — Top 10%,33.206577481759474,-111.70208906512096
8848e968c3fffff,0.6832303664921465,210.8666421514062,12.224993262550441,unknown,69381.00141152139,12.0,180.0,West Allen Street Laveen,phoenix,Tier 1 — Top 10%,33.36788580695834,-112.16368297533421
8829b6d281fffff,0.6792198952879581,210.64695228436136,10.640675056126565,unknown,95247.30469514578,12.0,180.0,West Clarendon Avenue Maryvale,phoenix,Tier 1 — Top 10%,33.49065381508567,-112.17692749971866
8829b6d2d9fffff,0.6788848167539266,210.66416145246336,12.48005194921144,unknown,65930.5119286869,12.0,180.0,West Holly Street Maryvale,phoenix,Tier 1 — Top 10%,33.47097166794461,-112.2057824898195
8848ebbad5fffff,0.675109947643979,211.37452734696174,43.96266822396198,unknown,33493.164947321944,12.0,180.0,East Ivy Lane,phoenix,Tier 1 — Top 10%,33.224706419106845,-111.6837948968303
8848e96d05fffff,0.6743141361256544,210.73593043689664,11.160786081129427,unknown,85837.3744623401,12.0,180.0,South 63rd Avenue Estrella,phoenix,Tier 1 — Top 10%,33.433840948775405,-112.19301196987462
8848e96d0dfffff,0.6743141361256544,210.74807221041053,11.677803152890911,unknown,77404.97825673081,12.0,180.0,West Hughes Drive Estrella,phoenix,Tier 1 — Top 10%,33.425507599685375,-112.19682387007458
