rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
1,88489e376dfffff,0.7431,208.0,8.4,residential,222831,9,30.2016,-97.7007,Tier 1 — Top 10%
2,88489e3297fffff,0.7387,208.1,8.9,residential,192403,9,30.1937,-97.7053,Tier 1 — Top 10%
3,88489e34a1fffff,0.7352,208.0,8.7,residential,206589,9,30.3379,-97.7810,Tier 1 — Top 10%
4,88489e3611fffff,0.7347,208.2,8.2,commercial,231755,16,30.2360,-97.8205,Tier 1 — Top 10%
5,88489e3295fffff,0.7316,208.1,9.9,vacant,150418,0,30.1862,-97.6997,Tier 1 — Top 10%
6,88489e32bbfffff,0.7316,208.0,9.3,residential,173830,9,30.1941,-97.6951,Tier 1 — Top 10%
7,88489e3283fffff,0.7305,208.1,10.9,residential,117540,9,30.1786,-97.6941,Tier 1 — Top 10%
8,88489e228dfffff,0.7293,207.8,10.5,industrial,128799,12,30.3267,-97.6575,Tier 1 — Top 10%
9,88489e229dfffff,0.7290,207.9,10.3,residential,147289,9,30.3414,-97.6789,Tier 1 — Top 10%
10,88489e22c1fffff,0.7287,207.9,8.8,residential,199563,9,30.3109,-97.6667,Tier 1 — Top 10%
11,88489e22b9fffff,0.7286,207.8,11.9,industrial,143263,12,30.3496,-97.6641,Tier 1 — Top 10%
12,88489e30cbfffff,0.7273,208.0,10.0,NaN,0,0,30.2026,-97.6701,Tier 1 — Top 10%
13,88489e22d5fffff,0.7269,207.9,9.0,residential,187363,9,30.3260,-97.6779,Tier 1 — Top 10%
14,88489e22bbfffff,0.7269,207.8,12.2,residential,174075,9,30.3572,-97.6697,Tier 1 — Top 10%
15,88489e2755fffff,0.7261,207.9,12.6,industrial,421174,12,30.3787,-97.7171,Tier 1 — Top 10%
16,88489e35abfffff,0.7259,207.9,8.4,residential,220375,9,30.3400,-97.7197,Tier 1 — Top 10%
17,88489eadd1fffff,0.7255,208.2,12.6,residential,77498,9,30.1600,-97.7849,Tier 1 — Top 10%
18,88489e3291fffff,0.7253,208.1,9.6,open_space,163455,0,30.1858,-97.7099,Tier 1 — Top 10%
19,88489e205bfffff,0.7252,207.8,13.0,industrial,69286,12,30.3277,-97.6269,Tier 1 — Top 10%
20,884898d937fffff,0.7238,208.3,11.6,vacant,98913,0,30.2500,-97.8623,Tier 1 — Top 10%
21,884898d93dfffff,0.7232,208.3,11.9,commercial,91491,16,30.2345,-97.8613,Tier 1 — Top 10%
22,88489eadbbfffff,0.7232,208.2,8.7,commercial,204149,16,30.1915,-97.7665,Tier 1 — Top 10%
23,88489e34bdfffff,0.7229,208.1,10.1,multifamily,145024,20,30.3450,-97.7968,Tier 1 — Top 10%
24,88489e30c9fffff,0.7226,208.0,11.0,NaN,0,0,30.1951,-97.6645,Tier 1 — Top 10%
25,884898d939fffff,0.7226,208.3,12.9,residential,72172,9,30.2342,-97.8715,Tier 1 — Top 10%
26,88489e32b3fffff,0.7225,208.0,8.8,residential,197318,9,30.2019,-97.6905,Tier 1 — Top 10%
27,88489e36d9fffff,0.7216,208.3,12.0,residential,88895,9,30.2575,-97.8679,Tier 1 — Top 10%
28,88489e361dfffff,0.7212,208.2,8.1,NaN,0,0,30.2285,-97.8149,Tier 1 — Top 10%
29,88489e270bfffff,0.7205,207.9,13.6,residential,485255,9,30.3866,-97.7125,Tier 1 — Top 10%
30,88489e2281fffff,0.7199,207.9,10.7,industrial,123970,12,30.3342,-97.6631,Tier 1 — Top 10%
31,884898d92dfffff,0.7188,208.2,10.7,residential,124584,9,30.2199,-97.8399,Tier 1 — Top 10%
32,88489eadd3fffff,0.7184,208.2,12.0,residential,89973,9,30.1675,-97.7905,Tier 1 — Top 10%
33,88489e2289fffff,0.7175,207.9,9.8,commercial,156138,16,30.3263,-97.6677,Tier 1 — Top 10%
34,88489e34b1fffff,0.7172,208.1,11.1,vacant,113099,0,30.3526,-97.8024,Tier 1 — Top 10%
35,88489e31d9fffff,0.7160,207.9,13.8,open_space,57464,0,30.2123,-97.6145,Tier 1 — Top 10%
36,884898d9e5fffff,0.7159,208.3,13.0,residential,69575,9,30.2571,-97.8781,Tier 1 — Top 10%
37,88489e3083fffff,0.7158,208.0,8.6,industrial,207593,12,30.2338,-97.6619,Tier 1 — Top 10%
38,88489e30e1fffff,0.7154,207.9,12.1,residential,87557,9,30.2116,-97.6349,Tier 1 — Top 10%
39,88489e262dfffff,0.7148,207.9,13.2,residential,404449,9,30.3855,-97.7431,Tier 1 — Top 10%
40,88489e30b1fffff,0.7144,207.9,8.9,industrial,194249,12,30.2496,-97.6526,Tier 1 — Top 10%
41,88489e34b9fffff,0.7143,208.1,10.6,residential,127902,9,30.3447,-97.8070,Tier 1 — Top 10%
42,88489ead91fffff,0.7134,208.2,10.0,residential,146829,9,30.1833,-97.7813,Tier 1 — Top 10%
43,88489e30e5fffff,0.7133,207.9,12.9,industrial,71104,12,30.2119,-97.6247,Tier 1 — Top 10%
44,88489e22c7fffff,0.7124,207.9,9.7,residential,160732,9,30.3188,-97.6621,Tier 1 — Top 10%
45,88489e34d7fffff,0.7120,208.1,10.5,residential,129939,9,30.3285,-97.8264,Tier 1 — Top 10%
