rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
1,88489e376dfffff,1.0,208.0,8.4,residential,222831,9,30.2016,-97.7007,Tier 1 — Top 10%,True,1.0,,1.0,11.310111999999743,12,False,0.7431
2,88489e3297fffff,0.9984709480122325,208.1,8.9,residential,192403,9,30.1937,-97.7053,Tier 1 — Top 10%,True,1.0,,1.0,10.430683999999815,11,False,0.7387
5,88489e3295fffff,0.996177370030581,208.1,9.9,vacant,150418,0,30.1862,-97.6997,Tier 1 — Top 10%,True,0.9736,airport,1.0,9.595783999999783,10,False,0.7316
6,88489e32bbfffff,0.996177370030581,208.0,9.3,residential,173830,9,30.1941,-97.6951,Tier 1 — Top 10%,True,0.5131,airport,1.0,10.475211999999711,11,False,0.7316
7,88489e3283fffff,0.9938837920489296,208.1,10.9,residential,117540,9,30.1786,-97.6941,Tier 1 — Top 10%,True,0.9874,airport,1.0,8.749751999999777,9,False,0.7305
8,88489e228dfffff,0.9923547400611621,207.8,10.5,industrial,128799,12,30.3267,-97.6575,Tier 1 — Top 10%,True,1.0,,1.0,24.74240498850582,26,False,0.7293
9,88489e229dfffff,0.9908256880733946,207.9,10.3,residential,147289,9,30.3414,-97.6789,Tier 1 — Top 10%,True,1.0,,1.0,26.79464406289355,29,False,0.729
10,88489e22c1fffff,0.9892966360856269,207.9,8.8,residential,199563,9,30.3109,-97.6667,Tier 1 — Top 10%,True,1.0,,1.0,23.47738799999986,25,False,0.7287
11,88489e22b9fffff,0.9877675840978594,207.8,11.9,industrial,143263,12,30.3496,-97.6641,Tier 1 — Top 10%,True,1.0,,1.0,25.370644072541364,27,False,0.7286
13,88489e22d5fffff,0.985474006116208,207.9,9.0,residential,187363,9,30.326,-97.6779,Tier 1 — Top 10%,True,1.0,,1.0,25.158319999999897,27,False,0.7269
14,88489e22bbfffff,0.985474006116208,207.8,12.2,residential,174075,9,30.3572,-97.6697,Tier 1 — Top 10%,True,1.0,,1.0,25.906593041006715,28,False,0.7269
15,88489e2755fffff,0.9831804281345565,207.9,12.6,industrial,421174,12,30.3787,-97.7171,Tier 1 — Top 10%,True,1.0,,1.0,25.24785299316057,27,False,0.7261
16,88489e35abfffff,0.981651376146789,207.9,8.4,residential,220375,9,30.34,-97.7197,Tier 1 — Top 10%,True,1.0,,1.0,25.0080516305592,27,False,0.7259
17,88489eadd1fffff,0.9801223241590215,208.2,12.6,residential,77498,9,30.16,-97.7849,Tier 1 — Top 10%,True,1.0,,1.0,6.679199999999857,7,False,0.7255
18,88489e3291fffff,0.9785932721712538,208.1,9.6,open_space,163455,0,30.1858,-97.7099,Tier 1 — Top 10%,True,1.0,,1.0,9.551255999999887,10,False,0.7253
19,88489e205bfffff,0.9770642201834863,207.8,13.0,industrial,69286,12,30.3277,-97.6269,Tier 1 — Top 10%,True,1.0,,1.0,21.801919894076388,23,False,0.7252
20,884898d937fffff,0.9755351681957186,208.3,11.6,vacant,98913,0,30.25,-97.8623,Tier 1 — Top 10%,True,1.0,,1.0,11.318287225311813,12,False,0.7238
21,884898d93dfffff,0.9732415902140673,208.3,11.9,commercial,91491,16,30.2345,-97.8613,Tier 1 — Top 10%,True,1.0,,1.0,11.416249789444302,12,False,0.7232
22,88489eadbbfffff,0.9732415902140673,208.2,8.7,commercial,204149,16,30.1915,-97.7665,Tier 1 — Top 10%,True,1.0,,1.0,10.18577999999999,11,False,0.7232
25,884898d939fffff,0.9709480122324159,208.3,12.9,residential,72172,9,30.2342,-97.8715,Tier 1 — Top 10%,True,1.0,,1.0,10.435272806162551,11,False,0.7226
27,88489e36d9fffff,0.9694189602446484,208.3,12.0,residential,88895,9,30.2575,-97.8679,Tier 1 — Top 10%,True,1.0,,1.0,10.778956078124477,11,False,0.7216
29,88489e270bfffff,0.9678899082568807,207.9,13.6,residential,485255,9,30.3866,-97.7125,Tier 1 — Top 10%,True,1.0,,1.0,25.687541775136488,27,False,0.7205
30,88489e2281fffff,0.9663608562691132,207.9,10.7,industrial,123970,12,30.3342,-97.6631,Tier 1 — Top 10%,True,1.0,,1.0,25.27855621137037,27,False,0.7199
31,884898d92dfffff,0.9648318042813455,208.2,10.7,residential,124584,9,30.2199,-97.8399,Tier 1 — Top 10%,True,0.4845,protected,1.0,13.34726799999974,14,False,0.7188
32,88489eadd3fffff,0.963302752293578,208.2,12.0,residential,89973,9,30.1675,-97.7905,Tier 1 — Top 10%,True,1.0,,1.0,7.514099999999889,8,False,0.7184
33,88489e2289fffff,0.9617737003058104,207.9,9.8,commercial,156138,16,30.3263,-97.6677,Tier 1 — Top 10%,True,1.0,,1.0,25.19171599999982,27,False,0.7175
35,88489e31d9fffff,0.9602446483180428,207.9,13.8,open_space,57464,0,30.2123,-97.6145,Tier 1 — Top 10%,True,1.0,,1.0,12.501235999999734,13,False,0.716
36,884898d9e5fffff,0.9587155963302753,208.3,13.0,residential,69575,9,30.2571,-97.8781,Tier 1 — Top 10%,True,1.0,,1.0,9.798216749224254,10,False,0.7159
37,88489e3083fffff,0.9571865443425076,208.0,8.6,industrial,207593,12,30.2338,-97.6619,Tier 1 — Top 10%,True,1.0,,1.0,14.894615999999694,16,False,0.7158
