rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
1,8829b6d2d3fffff,0.7011,210.6,13.2,unknown,57248,12,33.4861,-112.2088,Tier 1 — Top 10%
2,8848ebb137fffff,0.6972,211.4,44.5,unknown,33476,12,33.2080,-111.6915,Tier 1 — Top 10%
3,8848e96d09fffff,0.6962,210.7,12.7,unknown,63406,12,33.4240,-112.2074,Tier 1 — Top 10%
4,8848ebba87fffff,0.6917,211.4,44.3,unknown,33482,12,33.2428,-111.6655,Tier 1 — Top 10%
5,8848e96aa7fffff,0.6890,210.9,13.6,unknown,52701,12,33.3459,-112.1539,Tier 1 — Top 10%
6,8829b6d2dbfffff,0.6876,210.6,13.3,unknown,56359,12,33.4778,-112.2126,Tier 1 — Top 10%
7,8848e96959fffff,0.6874,211.0,13.5,unknown,54063,12,33.3276,-112.0631,Tier 1 — Top 10%
8,8848ebba83fffff,0.6865,211.4,43.5,unknown,33507,12,33.2414,-111.6761,Tier 1 — Top 10%
9,8848ebbad9fffff,0.6861,211.4,43.5,unknown,33508,12,33.2149,-111.6982,Tier 1 — Top 10%
10,8848ebba89fffff,0.6858,211.4,44.7,unknown,33469,12,33.2262,-111.6732,Tier 1 — Top 10%
11,8848ebb133fffff,0.6834,211.4,43.8,unknown,33499,12,33.2066,-111.7021,Tier 1 — Top 10%
12,8848e968c3fffff,0.6832,210.9,12.2,unknown,69381,12,33.3679,-112.1637,Tier 1 — Top 10%
13,8829b6d281fffff,0.6792,210.6,10.6,unknown,95247,12,33.4907,-112.1769,Tier 1 — Top 10%
14,8829b6d2d9fffff,0.6789,210.7,12.5,unknown,65931,12,33.4710,-112.2058,Tier 1 — Top 10%
15,8848ebbad5fffff,0.6751,211.4,44.0,unknown,33493,12,33.2247,-111.6838,Tier 1 — Top 10%
16,8848e96d05fffff,0.6743,210.7,11.2,unknown,85837,12,33.4338,-112.1930,Tier 1 — Top 10%
17,8848e96d0dfffff,0.6743,210.7,11.7,unknown,77405,12,33.4255,-112.1968,Tier 1 — Top 10%
18,8848ebbaddfffff,0.6741,211.4,44.2,unknown,33485,12,33.2164,-111.6876,Tier 1 — Top 10%
19,8829b6d2d7fffff,0.6728,210.6,12.3,unknown,68141,12,33.4876,-112.1982,Tier 1 — Top 10%
20,8848e96d41fffff,0.6728,210.8,12.9,unknown,60864,12,33.4088,-112.2044,Tier 1 — Top 10%
21,8848eb3595fffff,0.6717,210.5,44.3,unknown,33483,12,33.7312,-111.7378,Tier 1 — Top 10%
22,8848eb3587fffff,0.6717,210.5,45.0,unknown,33458,12,33.7258,-111.7203,Tier 1 — Top 10%
23,8829b6d289fffff,0.6664,210.7,10.6,unknown,96108,12,33.4823,-112.1807,Tier 1 — Top 10%
24,8848e96893fffff,0.6644,210.8,11.6,unknown,78351,12,33.4035,-112.1870,Tier 1 — Top 10%
25,8829b6c9abfffff,0.6642,210.2,44.3,unknown,33481,12,33.8126,-111.8794,Tier 1 — Top 10%
26,8848e96831fffff,0.6614,210.9,10.3,unknown,102192,12,33.3602,-112.1077,Tier 1 — Top 10%
27,8829b6d0c5fffff,0.6607,210.6,10.7,unknown,94290,12,33.5270,-112.1404,Tier 1 — Top 10%
28,8848ebba8bfffff,0.6585,211.4,43.7,unknown,33501,12,33.2330,-111.6799,Tier 1 — Top 10%
29,8848eba4b5fffff,0.6552,210.8,10.7,unknown,267211,12,33.4888,-111.9692,Tier 1 — Top 10%
30,8848e96811fffff,0.6548,210.9,12.3,unknown,67899,12,33.3489,-112.1327,Tier 1 — Top 10%
31,8848ebb881fffff,0.6546,211.3,43.7,unknown,33503,12,33.2928,-111.6424,Tier 1 — Top 10%
32,8848eb321bfffff,0.6546,210.9,40.8,unknown,33598,12,33.5263,-111.6436,Tier 1 — Top 10%
33,8848ebb8c1fffff,0.6546,211.3,44.7,unknown,33469,12,33.2693,-111.6433,Tier 1 — Top 10%
34,8848e962e5fffff,0.6544,211.0,33.1,unknown,33861,12,33.2360,-112.3229,Tier 1 — Top 10%
35,8829b6cd49fffff,0.6543,210.2,40.3,unknown,33615,12,33.8084,-112.0209,Tier 1 — Top 10%
36,8848e9613dfffff,0.6541,211.0,21.7,unknown,34246,12,33.2845,-112.2018,Tier 1 — Top 10%
37,8848eb35d5fffff,0.6541,210.5,42.4,unknown,33546,12,33.7077,-111.7387,Tier 1 — Top 10%
38,8848e979a5fffff,0.6540,211.1,22.9,unknown,34207,12,33.2434,-112.0521,Tier 1 — Top 10%
39,8829b6cf29fffff,0.6539,210.2,37.7,unknown,33703,12,33.7849,-112.0217,Tier 1 — Top 10%
40,8848eb35edfffff,0.6539,210.5,44.9,unknown,33461,12,33.6985,-111.6932,Tier 1 — Top 10%
41,8848e96059fffff,0.6539,211.0,32.2,unknown,33888,12,33.2375,-112.3123,Tier 1 — Top 10%
42,8848ebb68bfffff,0.6538,211.2,23.7,unknown,34180,12,33.2395,-112.0242,Tier 1 — Top 10%
43,8829b6cf05fffff,0.6538,210.2,37.5,unknown,33712,12,33.7834,-112.0324,Tier 1 — Top 10%
44,8829b6c0b9fffff,0.6537,210.2,31.9,unknown,33901,12,33.7283,-112.1473,Tier 1 — Top 10%
45,8848ebaa13fffff,0.6536,211.1,40.6,unknown,33605,12,33.3702,-111.6463,Tier 1 — Top 10%
46,8848ebb637fffff,0.6536,211.2,27.0,unknown,36488,12,33.2250,-111.9615,Tier 1 — Top 10%
47,8848e96187fffff,0.6535,210.9,21.6,unknown,34250,12,33.3240,-112.2531,Tier 1 — Top 10%
48,8829b6ced5fffff,0.6535,210.1,41.3,unknown,33582,12,33.8093,-112.1797,Tier 1 — Top 10%
49,8848e96223fffff,0.6534,211.0,32.7,unknown,33872,12,33.2170,-112.2919,Tier 1 — Top 10%
50,8848ebb689fffff,0.6533,211.2,24.6,unknown,34150,12,33.2327,-112.0174,Tier 1 — Top 10%
51,8848ebb183fffff,0.6532,211.3,38.6,unknown,55170,12,33.2311,-111.7503,Tier 1 — Top 10%
52,8848e979e9fffff,0.6532,211.2,26.5,unknown,34083,12,33.2100,-112.0674,Tier 1 — Top 10%
53,8848e979b9fffff,0.6531,211.1,22.6,unknown,34217,12,33.2457,-112.0907,Tier 1 — Top 10%
54,8848ebaa59fffff,0.6531,211.2,42.0,unknown,33561,12,33.3315,-111.6444,Tier 1 — Top 10%
55,8848ebba95fffff,0.6530,211.3,42.6,unknown,33539,12,33.2482,-111.6829,Tier 1 — Top 10%
56,8848ebb0b7fffff,0.6530,211.3,33.1,unknown,120141,12,33.2457,-111.8131,Tier 1 — Top 10%
57,8829b6c927fffff,0.6529,210.3,43.4,unknown,33513,12,33.7746,-111.8173,Tier 1 — Top 10%
58,8848eb2657fffff,0.6529,210.4,43.5,unknown,33507,12,33.7624,-111.7931,Tier 1 — Top 10%
59,8829b6c897fffff,0.6528,210.2,41.3,unknown,33583,12,33.8129,-111.9889,Tier 1 — Top 10%
60,8848e9621dfffff,0.6528,211.0,35.9,unknown,33763,12,33.2041,-112.3275,Tier 1 — Top 10%
61,8829b6c925fffff,0.6527,210.4,43.1,unknown,33522,12,33.7678,-111.8105,Tier 1 — Top 10%
62,8848e96129fffff,0.6527,211.0,22.4,unknown,34224,12,33.2709,-112.1882,Tier 1 — Top 10%
63,8848e9605bfffff,0.6525,211.0,32.1,unknown,33892,12,33.2443,-112.3191,Tier 1 — Top 10%
64,8848e9605dfffff,0.6525,211.0,31.5,unknown,33915,12,33.2390,-112.3017,Tier 1 — Top 10%
65,8829b6d6d5fffff,0.6525,210.4,29.6,unknown,47895,12,33.5656,-112.3609,Tier 1 — Top 10%
66,8848e962e7fffff,0.6525,211.0,33.0,unknown,33864,12,33.2428,-112.3297,Tier 1 — Top 10%
67,8848ebac0bfffff,0.6522,210.9,28.8,unknown,34005,12,33.4935,-111.7683,Tier 1 — Top 10%
68,8848ebace5fffff,0.6521,210.8,29.7,unknown,33976,12,33.5322,-111.7703,Tier 1 — Top 10%
69,8848e9612bfffff,0.6521,211.0,22.1,unknown,34236,12,33.2777,-112.1950,Tier 1 — Top 10%
70,8829b6c5e1fffff,0.6520,210.1,40.9,unknown,33597,12,33.7964,-112.2155,Tier 1 — Top 10%
