rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
1,8829b6d2d3fffff,1.0,210.6,13.2,unknown,57248,12,33.4861,-112.2088,Tier 1 — Top 10%,True,1.0,,1.0,13.109441874559637,14,False,0.7011
3,8848e96d09fffff,0.99867197875166,210.7,12.7,unknown,63406,12,33.424,-112.2074,Tier 1 — Top 10%,True,1.0,,1.0,13.248907146470172,14,False,0.6962
5,8848e96aa7fffff,0.99734395750332,210.9,13.6,unknown,52701,12,33.3459,-112.1539,Tier 1 — Top 10%,True,1.0,,1.0,16.24158799999972,17,False,0.689
6,8829b6d2dbfffff,0.9960159362549801,210.6,13.3,unknown,56359,12,33.4778,-112.2126,Tier 1 — Top 10%,True,1.0,,1.0,12.757860555175746,13,False,0.6876
8,8848ebba83fffff,0.9946879150066401,211.4,43.5,unknown,33507,12,33.2414,-111.6761,Tier 1 — Top 10%,True,1.0,,1.0,2.43002836927808,2,False,0.6865
10,8848ebba89fffff,0.9933598937583001,211.4,44.7,unknown,33469,12,33.2262,-111.6732,Tier 1 — Top 10%,True,1.0,,1.0,2.1604007151715443,2,False,0.6858
12,8848e968c3fffff,0.9920318725099602,210.9,12.2,unknown,69381,12,33.3679,-112.1637,Tier 1 — Top 10%,True,1.0,,1.0,17.320233022735763,18,False,0.6832
13,8829b6d281fffff,0.9907038512616202,210.6,10.6,unknown,95247,12,33.4907,-112.1769,Tier 1 — Top 10%,True,1.0,,1.0,16.07028228069208,17,False,0.6792
14,8829b6d2d9fffff,0.9893758300132802,210.7,12.5,unknown,65931,12,33.471,-112.2058,Tier 1 — Top 10%,True,1.0,,1.0,13.390304747176005,14,False,0.6789
15,8848ebbad5fffff,0.9880478087649402,211.4,44.0,unknown,33493,12,33.2247,-111.6838,Tier 1 — Top 10%,True,1.0,,1.0,2.749603999999524,2,False,0.6751
16,8848e96d05fffff,0.9860557768924303,210.7,11.2,unknown,85837,12,33.4338,-112.193,Tier 1 — Top 10%,True,1.0,,1.0,14.585158366934309,15,False,0.6743
17,8848e96d0dfffff,0.9860557768924303,210.7,11.7,unknown,77405,12,33.4255,-112.1968,Tier 1 — Top 10%,True,1.0,,1.0,14.233502832837532,15,False,0.6743
19,8829b6d2d7fffff,0.9833997343957503,210.6,12.3,unknown,68141,12,33.4876,-112.1982,Tier 1 — Top 10%,True,1.0,,1.0,14.093334354487853,15,False,0.6728
20,8848e96d41fffff,0.9833997343957503,210.8,12.9,unknown,60864,12,33.4088,-112.2044,Tier 1 — Top 10%,True,1.0,,1.0,13.53000393244304,14,False,0.6728
23,8829b6d289fffff,0.9814077025232404,210.7,10.6,unknown,96108,12,33.4823,-112.1807,Tier 1 — Top 10%,True,1.0,,1.0,15.719021823046273,17,False,0.6664
24,8848e96893fffff,0.9800796812749004,210.8,11.6,unknown,78351,12,33.4035,-112.187,Tier 1 — Top 10%,True,1.0,,1.0,15.147837859833098,16,False,0.6644
27,8829b6d0c5fffff,0.9787516600265604,210.6,10.7,unknown,94290,12,33.527,-112.1404,Tier 1 — Top 10%,True,1.0,,1.0,19.450713519506543,21,False,0.6607
28,8848ebba8bfffff,0.9774236387782205,211.4,43.7,unknown,33501,12,33.233,-111.6799,Tier 1 — Top 10%,True,1.0,,1.0,2.7840930674685977,3,False,0.6585
29,8848eba4b5fffff,0.9760956175298805,210.8,10.7,unknown,267211,12,33.4888,-111.9692,Tier 1 — Top 10%,True,1.0,,1.0,29.634584931192453,32,False,0.6552
30,8848e96811fffff,0.9747675962815405,210.9,12.3,unknown,67899,12,33.3489,-112.1327,Tier 1 — Top 10%,True,0.7938,protected,1.0,16.57554799999973,17,False,0.6548
34,8848e962e5fffff,0.9734395750332006,211.0,33.1,unknown,33861,12,33.236,-112.3229,Tier 1 — Top 10%,True,1.0,,1.0,2.5232887505592383,2,False,0.6544
35,8829b6cd49fffff,0.9721115537848606,210.2,40.3,unknown,33615,12,33.8084,-112.0209,Tier 1 — Top 10%,True,1.0,,1.0,4.630912000000281,5,False,0.6543
36,8848e9613dfffff,0.9707835325365206,211.0,21.7,unknown,34246,12,33.2845,-112.2018,Tier 1 — Top 10%,True,1.0,,1.0,9.40653999999983,10,False,0.6541
38,8848e979a5fffff,0.9694555112881806,211.1,22.9,unknown,34207,12,33.2434,-112.0521,Tier 1 — Top 10%,True,1.0,,1.0,4.831287999999813,5,False,0.654
39,8829b6cf29fffff,0.9667994687915007,210.2,37.7,unknown,33703,12,33.7849,-112.0217,Tier 1 — Top 10%,True,1.0,,1.0,7.246932000000116,7,False,0.6539
40,8848eb35edfffff,0.9667994687915007,210.5,44.9,unknown,33461,12,33.6985,-111.6932,Tier 1 — Top 10%,True,0.7088,protected,1.0,4.000957193741063,4,False,0.6539
41,8848e96059fffff,0.9667994687915007,211.0,32.2,unknown,33888,12,33.2375,-112.3123,Tier 1 — Top 10%,True,1.0,,1.0,3.5101975618560184,3,False,0.6539
42,8848ebb68bfffff,0.9634794156706508,211.2,23.7,unknown,34180,12,33.2395,-112.0242,Tier 1 — Top 10%,True,1.0,,1.0,4.397139999999639,4,False,0.6538
43,8829b6cf05fffff,0.9634794156706508,210.2,37.5,unknown,33712,12,33.7834,-112.0324,Tier 1 — Top 10%,True,1.0,,1.0,7.413912000000122,8,False,0.6538
44,8829b6c0b9fffff,0.9614873837981408,210.2,31.9,unknown,33901,12,33.7283,-112.1473,Tier 1 — Top 10%,True,1.0,,1.0,13.54764400000046,14,False,0.6537
46,8848ebb637fffff,0.9601593625498008,211.2,27.0,unknown,36488,12,33.225,-111.9615,Tier 1 — Top 10%,True,1.0,,1.0,2.782999999999842,3,False,0.6536
47,8848e96187fffff,0.9581673306772909,210.9,21.6,unknown,34250,12,33.324,-112.2531,Tier 1 — Top 10%,True,1.0,,1.0,9.013295612028548,9,False,0.6535
48,8829b6ced5fffff,0.9581673306772909,210.1,41.3,unknown,33582,12,33.8093,-112.1797,Tier 1 — Top 10%,True,1.0,,1.0,4.530724000000118,4,False,0.6535
49,8848e96223fffff,0.9561752988047809,211.0,32.7,unknown,33872,12,33.217,-112.2919,Tier 1 — Top 10%,True,1.0,,1.0,1.8924399999995443,2,False,0.6534
50,8848ebb689fffff,0.9548472775564409,211.2,24.6,unknown,34150,12,33.2327,-112.0174,Tier 1 — Top 10%,True,1.0,,1.0,3.6401639999998214,3,False,0.6533
51,8848ebb183fffff,0.953519256308101,211.3,38.6,unknown,55170,12,33.2311,-111.7503,Tier 1 — Top 10%,True,1.0,,1.0,3.4620519999994457,3,False,0.6532
