rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
1,8829b6d2d3fffff,phoenix,Tier 1 � Top 10%,0.7011,33.4861,-112.2088,210.6,10.8,13.2,unknown,618278,37871064,13254872,188179,2275087,2637449,42131232,48841645,0.054,13.98,2.83,48223367
2,8848ebb137fffff,phoenix,Tier 1 � Top 10%,0.6972,33.208,-111.6915,211.4,30.2,44.5,unknown,1010975,105898716,37064551,526205,6361816,7375088,117811408,136575711,0.054,13.98,2.83,135564736
3,8848e96d09fffff,phoenix,Tier 1 � Top 10%,0.6962,33.424,-112.2074,210.7,10.4,12.7,unknown,659422,36468432,12763951,181210,2190824,2539766,40570816,47032695,0.054,13.98,2.83,46373273
4,8848ebba87fffff,phoenix,Tier 1 � Top 10%,0.6917,33.2428,-111.6655,211.4,30.1,44.3,unknown,1007808,105548058,36941820,524462,6340750,7350668,117421304,136123473,0.054,13.98,2.83,135115665
5,8848e96aa7fffff,phoenix,Tier 1 � Top 10%,0.689,33.3459,-112.1539,210.9,11.0,13.6,unknown,579711,38572380,13500333,191664,2317218,2686290,42911440,49746120,0.054,13.98,2.83,49166409
6,8829b6d2dbfffff,phoenix,Tier 1 � Top 10%,0.6876,33.4778,-112.2126,210.6,10.8,13.3,unknown,608677,37871064,13254872,188179,2275087,2637449,42131232,48841645,0.054,13.98,2.83,48232968
7,8848e96959fffff,phoenix,Tier 1 � Top 10%,0.6874,33.3276,-112.0631,211.0,11.0,13.5,unknown,594693,38572380,13500333,191664,2317218,2686290,42911440,49746120,0.054,13.98,2.83,49151427
8,8848ebba83fffff,phoenix,Tier 1 � Top 10%,0.6865,33.2414,-111.6761,211.4,29.6,43.5,unknown,991807,103794768,36328169,515750,6235422,7228563,115470784,133862286,0.054,13.98,2.83,132870479
9,8848ebbad9fffff,phoenix,Tier 1 � Top 10%,0.6861,33.2149,-111.6982,211.4,29.6,43.5,unknown,991837,103794768,36328169,515750,6235422,7228563,115470784,133862286,0.054,13.98,2.83,132870449
10,8848ebba89fffff,phoenix,Tier 1 � Top 10%,0.6858,33.2262,-111.6732,211.4,30.3,44.7,unknown,1014111,106249374,37187281,527947,6382882,7399509,118201512,137027948,0.054,13.98,2.83,136013838
11,8848ebb133fffff,phoenix,Tier 1 � Top 10%,0.6834,33.2066,-111.7021,211.4,29.8,43.8,unknown,998270,104496084,36573629,519235,6277554,7277405,116250992,134766761,0.054,13.98,2.83,133768491
12,8848e968c3fffff,phoenix,Tier 1 � Top 10%,0.6832,33.3679,-112.1637,210.9,10.1,12.2,unknown,700748,35416458,12395760,175982,2127627,2466503,39400504,45675983,0.054,13.98,2.83,44975235
13,8829b6d281fffff,phoenix,Tier 1 � Top 10%,0.6792,33.4907,-112.1769,210.6,8.9,10.6,unknown,847698,31208562,10922997,155074,1874840,2173453,34719256,40249133,0.054,13.98,2.83,39401435
14,8829b6d2d9fffff,phoenix,Tier 1 � Top 10%,0.6789,33.471,-112.2058,210.7,10.3,12.5,unknown,679089,36117774,12641221,179467,2169758,2515345,40180712,46580458,0.054,13.98,2.83,45901368
15,8848ebbad5fffff,phoenix,Tier 1 � Top 10%,0.6751,33.2247,-111.6838,211.4,29.9,44.0,unknown,1001441,104846742,36696360,520978,6298619,7301826,116641096,135218999,0.054,13.98,2.83,134217558
16,8848e96d05fffff,phoenix,Tier 1 � Top 10%,0.6743,33.4338,-112.193,210.7,9.4,11.2,unknown,806868,32961852,11536648,163786,1980168,2295557,36669776,42510321,0.054,13.98,2.83,41703453
17,8848e96d0dfffff,phoenix,Tier 1 � Top 10%,0.6743,33.4255,-112.1968,210.7,9.7,11.7,unknown,750828,34013826,11904839,169013,2043365,2368820,37840088,43867033,0.054,13.98,2.83,43116204
18,8848ebbaddfffff,phoenix,Tier 1 � Top 10%,0.6741,33.2164,-111.6876,211.4,30.0,44.2,unknown,1004550,105197400,36819090,522720,6319685,7326247,117031200,135671236,0.054,13.98,2.83,134666686
19,8829b6d2d7fffff,phoenix,Tier 1 � Top 10%,0.6728,33.4876,-112.1982,210.6,10.1,12.3,unknown,688224,35416458,12395760,175982,2127627,2466503,39400504,45675983,0.054,13.98,2.83,44987759
20,8848e96d41fffff,phoenix,Tier 1 � Top 10%,0.6728,33.4088,-112.2044,210.8,10.5,12.9,unknown,639072,36819090,12886682,182952,2211890,2564186,40960920,47484933,0.054,13.98,2.83,46845861
21,8848eb3595fffff,phoenix,Tier 1 � Top 10%,0.6717,33.7312,-111.7378,210.5,30.1,44.3,unknown,1007838,105548058,36941820,524462,6340750,7350668,117421304,136123473,0.054,13.98,2.83,135115635
22,8848eb3587fffff,phoenix,Tier 1 � Top 10%,0.6717,33.7258,-111.7203,210.5,30.5,45.0,unknown,1020469,106950690,37432741,531432,6425013,7448351,118981720,137932423,0.054,13.98,2.83,136911954
23,8829b6d289fffff,phoenix,Tier 1 � Top 10%,0.6664,33.4823,-112.1807,210.7,8.9,10.6,unknown,855361,31208562,10922997,155074,1874840,2173453,34719256,40249133,0.054,13.98,2.83,39393772
24,8848e96893fffff,phoenix,Tier 1 � Top 10%,0.6644,33.4035,-112.187,210.8,9.6,11.6,unknown,752170,33663168,11782109,167270,2022299,2344399,37449984,43414796,0.054,13.98,2.83,42662626
25,8829b6c9abfffff,phoenix,Tier 1 � Top 10%,0.6642,33.8126,-111.8794,210.2,30.1,44.3,unknown,1007778,105548058,36941820,524462,6340750,7350668,117421304,136123473,0.054,13.98,2.83,135115695
26,8848e96831fffff,phoenix,Tier 1 � Top 10%,0.6614,33.3602,-112.1077,210.9,8.7,10.3,unknown,889070,30507246,10677536,151589,1832709,2124612,33939048,39344658,0.054,13.98,2.83,38455588
